Turtle,Treatment,Time_Point,Se
125,10,0,0.185
199,0,0,0.213
200,0,0,0.131
205,10,0,0.163
206,10,0,0.099
207,10,0,0.102
208,0,0,0.229
210,10,0,0.175
211,10,0,0.224
213,0,0,0.231
214,10,0,0.438
215,10,0,0.219
216,10,0,0.215
217,0,0,0.3
218,0,0,0.19
219,0,0,0.463
220,0,0,0.147
221,10,0,0.225
225,0,0,0.255
228,10,0,0.431
229,0,0,0.228
230,0,0,0.763
231,10,0,0.266
231,0,0,0.258
703,10,0,0.229
4000,10,0,0.584
5000,0,0,0.185
7000,0,0,0.734
8000,0,0,0.497
125,10,4,0.703
200,0,4,0.327
205,10,4,0.16
206,10,4,0.402
208,0,4,0.254
210,10,4,0.243
211,10,4,0.236
213,0,4,1.04
214,10,4,0.213
215,10,4,0.24
216,10,4,0.264
217,0,4,0.243
218,0,4,0.306
220,0,4,0.246
221,10,4,0.258
225,0,4,0.3
228,10,4,0.754
229,0,4,0.12
230,0,4,0.605
231,10,4,0.414
232,0,4,0.289
703,10,4,0.482
4000,10,4,0.256
5000,0,4,0.43
6000,10,4,0.333
7000,0,4,0.809
8000,0,4,0.547
